 |  | Despesas Pré-operacionais
 |  |  | Arapuá | 500580.1428569354 | 106980.59603654359 | 0 | 0 | 0 | 0 | 2475.0966712976647 | 22569.188456055224 | 557.5283843695197 | 103947.9709808764 | 0 | 2475.0966712976647 | 0 | 0 | 0 | 22569.188456055224 | 3032.6250556671844 | 103947.9709808764 | 0 | 0 | 0 | 2475.0966712976647 | 0 | 22569.188456055224 | 557.5283843695197 | 103947.9709808764 | 2475.0966712976647 | 0 | 0 | 0 | 0
 |  |  | Coromandel | 7684524.807483461 | 1682445.3194753448 | 0 | 0 | 0 | 0 | 23532.899999999998 | 302559.24319402676 | 7474.144068692586 | 1651438.2754066521 | 0 | 23532.899999999998 | 0 | 0 | 0 | 302559.24319402676 | 31007.044068692583 | 1651438.2754066521 | 0 | 0 | 0 | 23532.899999999998 | 0 | 302559.24319402676 | 7474.144068692586 | 1651438.2754066521 | 23532.899999999998 | 0 | 0 | 0 | 0
 |  |  | Cruzeiro da Fortaleza | 981026.8682739468 | 217453.56431715674 | 0 | 0 | 0 | 0 | 3309.8161770755073 | 34864.32621705633 | 861.2561105497883 | 213282.49202953142 | 0 | 3309.8161770755073 | 0 | 0 | 0 | 34864.32621705633 | 4171.072287625296 | 213282.49202953142 | 0 | 0 | 0 | 3309.8161770755073 | 0 | 34864.32621705633 | 861.2561105497883 | 213282.49202953142 | 3309.8161770755073 | 0 | 0 | 0 | 0
 |  |  | Guimarânia | 2629623.4906913135 | 581868.3982662226 | 0 | 0 | 0 | 0 | 8831.451952872188 | 94828.99790689297 | 2342.5679703704996 | 570694.3783429799 | 0 | 8831.451952872188 | 0 | 0 | 0 | 94828.99790689297 | 11174.019923242688 | 570694.3783429799 | 0 | 0 | 0 | 8831.451952872188 | 0 | 94828.99790689297 | 2342.5679703704996 | 570694.3783429799 | 8831.451952872188 | 0 | 0 | 0 | 0
 |  |  | Lagoa Formosa | 3969097.7635267675 | 879665.9967159468 | 0 | 0 | 0 | 0 | 6239.135971892776 | 203519.83869597517 | 5027.566103063366 | 810864.624184747 | 0 | 6239.135971892776 | 0 | 0 | 0 | 203519.83869597517 | 11266.702074956142 | 810864.624184747 | 0 | 0 | 0 | 6239.135971892776 | 0 | 203519.83869597517 | 5027.566103063366 | 810864.624184747 | 6239.135971892776 | 0 | 0 | 0 | 0
 |  |  | Patos de Minas | 44025015.06924267 | 9749800.706484042 | 0 | 0 | 0 | 0 | 69066.14402810723 | 2266125.391293851 | 55980.26843751369 | 8987855.554474667 | 0 | 69066.14402810723 | 0 | 0 | 0 | 2266125.391293851 | 125046.41246562092 | 8987855.554474667 | 0 | 0 | 0 | 69066.14402810723 | 0 | 2266125.391293851 | 55980.26843751369 | 8987855.554474667 | 69066.14402810723 | 0 | 0 | 0 | 0
 |  |  | Presidente Olegário | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
 |  |  | Rio Paranaíba | 3704981.514882559 | 785634.3602558753 | 0 | 0 | 0 | 0 | 17920.083328702334 | 175534.63573388424 | 4336.245499130816 | 763378.0314280421 | 0 | 17920.083328702334 | 0 | 0 | 0 | 175534.63573388424 | 22256.32882783315 | 763378.0314280421 | 0 | 0 | 0 | 17920.083328702334 | 0 | 175534.63573388424 | 4336.245499130816 | 763378.0314280421 | 17920.083328702334 | 0 | 0 | 0 | 0
 |  |  | Serra do Salitre | 3857584.7530423463 | 853709.7884488667 | 0 | 0 | 0 | 0 | 12960.491870052303 | 138941.53850225807 | 3432.2834263097357 | 837317.0131525047 | 0 | 12960.491870052303 | 0 | 0 | 0 | 138941.53850225807 | 16392.775296362037 | 837317.0131525047 | 0 | 0 | 0 | 12960.491870052303 | 0 | 138941.53850225807 | 3432.2834263097357 | 837317.0131525047 | 12960.491870052303 | 0 | 0 | 0 | 0
 |  | Transbordo e Transporte |  | 30562130.840000004 | 20962235.11 | 0 | 200967.25 | 0 | 0 | 0 | 0 | 0 | 0 | 347975.43999999994 | 4190715 | 0 | 0 | 160773.79999999996 | 0 | 0 | 0 | 0 | 0 | 347975.43999999994 | 4190715 | 0 | 0 | 160773.79999999996 | 0 | 0 | 0 | 0 | 0 | 0
 |  |  | Arapuá | 250313.82588671902 | 171096.53697276354 | 0 | 4877.754170493672 | 0 | 0 | 0 | 0 | 0 | 0 | 8445.847040696284 | 24821.71699463969 | 0 | 0 | 3902.203336394937 | 0 | 0 | 0 | 0 | 0 | 8445.847040696284 | 24821.71699463969 | 0 | 0 | 3902.203336394937 | 0 | 0 | 0 | 0 | 0 | 0
 |  |  | Coromandel | 3196147.244838894 | 2191734.14 | 0 | 40193.45 | 0 | 0 | 0 | 0 | 0 | 0 | 69595.088 | 380359.979419447 | 0 | 0 | 32154.759999999995 | 0 | 0 | 0 | 0 | 0 | 69595.088 | 380359.979419447 | 0 | 0 | 32154.759999999995 | 0 | 0 | 0 | 0 | 0 | 0
